Ticker, Price, High, Low, Volume
'IHG', 4490.0, 4805.0, 4443.0, 1027355.0
'MKS', 299.5, 300.3, 297.5, 1987474.0
'EXPN', 1548.0, 1552.0, 1535.0, 428664.0
'CCH', 2467.0, 2500.0, 2450.0, 266344.0
'LSE', 3997.0, 4024.0, 3979.0, 184303.0
'FERG', 5214.0, 5234.0, 5184.0, 215380.0
'SSE', 1208.0, 1216.0, 1203.5, 2662738.0
'ABF', 2641.0, 2652.0, 2629.0, 173952.0
'SMIN', 1589.0, 1589.0, 1574.5, 269815.0
'UU.', 662.0, 672.2, 660.0, 761420.0
'SLA', 378.8, 381.2, 373.4, 6573132.0
'TUI', 1536.0, 1540.5, 1524.0, 1821066.0
'RR.', 840.8, 842.4, 832.8, 1245562.0
'DLG', 388.8, 390.1, 386.4, 1637464.0
'SGE', 696.8, 698.2, 687.2, 835805.0
'SKY', 1107.5, 1107.5, 1101.5, 1503034.0
'RSA', 609.8, 611.4, 607.4, 1891375.0
'SVT', 1707.5, 1731.0, 1702.5, 257611.0
'GFS', 260.0, 262.1, 259.2, 1116335.0
'PSON', 695.4, 701.2, 692.8, 633165.0
'MRW', 222.0, 222.5, 221.2, 4785087.0
'STAN', 818.5, 820.5, 813.6, 2901584.0
'SMDS', 485.9, 485.9, 476.1, 1584934.0
'III', 911.0, 913.0, 901.6, 505683.0
'SMT', 460.4, 462.8, 456.2, 1660933.0
'TSCO', 206.5, 207.4, 205.2, 11397270.0
'FRES', 1350.0, 1367.5, 1342.5, 466152.0
'BT.A', 231.5, 231.65, 228.3, 7511863.0
'GSK', 1327.0, 1327.8, 1311.0, 2633505.0
'BKG', 3846.0, 3872.0, 3787.0, 275722.0
'PRU', 1837.5, 1844.5, 1827.5, 2780449.0
'EZJ', 1664.5, 1669.0, 1644.0, 487845.0
'RDSA', 2265.0, 2273.5, 2249.5, 3680752.0
'PPB', 8360.0, 8390.0, 8325.0, 24720.0
'NXT', 4973.0, 4976.0, 4918.0, 230782.0
'NG.', 747.4, 754.1, 744.2, 3341594.0
'DCC', 6670.0, 6715.0, 6645.0, 174306.0
'HLMA', 1215.0, 1216.0, 1207.0, 231735.0
'ADM', 1889.5, 1900.5, 1880.0, 171849.0
'CNA', 130.0, 131.05, 129.05, 21795797.0
'IMB', 2667.0, 2689.0, 2659.5, 1305344.0
'SDR', 3466.0, 3471.0, 3418.0, 113352.0
'VOD', 203.95, 205.0, 202.8, 18359819.0
'SGRO', 584.0, 587.4, 581.6, 623731.0
'RDSB', 2284.5, 2293.5, 2268.0, 1538326.0
'CCL', 4853.0, 4862.0, 4793.0, 518319.0
'LLOY', 67.88, 68.26, 67.63, 54081752.0
'ITV', 171.1, 172.95, 170.0, 4948460.0
'BLND', 647.8, 650.4, 645.0, 746712.0
'DGE', 2487.0, 2508.0, 2484.0, 2687437.0
'HSBA', 733.9, 742.0, 726.2, 30314690.0
'OML', 247.4, 248.6, 246.7, 2907844.0
'TW.', 191.05, 191.4, 188.35, 4589833.0
'BATS', 4456.0, 4487.0, 4432.5, 2291761.0
'REL', 1485.5, 1490.5, 1472.5, 1568862.0
'IAG', 615.0, 619.6, 611.2, 1715296.0
