Ticker, Price, High, Low, Volume
'SN.', 1263.0, 1286.5, 1260.0, 1413752.0
'CPG', 1546.5, 1556.0, 1545.0, 3002799.0
'CCL', 4823.0, 4868.0, 4814.0, 507167.0
'BARC', 201.0, 202.6, 200.3, 30775951.0
'CCH', 2460.0, 2465.0, 2446.0, 649605.0
'GSK', 1308.6, 1324.6, 1303.8, 4712154.0
'ADM', 1883.0, 1909.0, 1876.5, 544580.0
'DCC', 6660.0, 6725.0, 6620.0, 351974.0
'BLND', 644.4, 650.8, 642.8, 2320152.0
'RIO', 4055.0, 4105.5, 4046.5, 4945483.0
'WTB', 3903.0, 3964.0, 3900.0, 420946.0
'SMIN', 1570.0, 1594.5, 1569.5, 761831.0
'NXT', 4920.0, 4975.0, 4908.0, 251761.0
'IAG', 616.0, 620.6, 609.0, 5563921.0
'MRW', 221.2, 223.3, 220.3, 4934206.0
'SVT', 1714.5, 1746.0, 1705.5, 676874.0
'III', 899.8, 907.8, 899.2, 1068596.0
'ITRK', 4905.0, 5012.0, 4899.0, 257986.0
'AHT', 2018.0, 2046.0, 2010.0, 1443134.0
'JMAT', 3154.0, 3238.0, 3140.0, 475796.0
'IHG', 4697.0, 4721.0, 4665.0, 462246.0
'SKY', 1103.0, 1103.0, 1095.0, 4368092.0
'LGEN', 255.0, 257.7, 253.9, 16644820.0
'HL.', 1674.5, 1696.0, 1672.5, 1085298.0
'AV.', 494.1, 498.3, 492.9, 4910342.0
'BATS', 4440.0, 4469.5, 4419.0, 2099906.0
'STAN', 818.8, 825.0, 816.0, 3701481.0
'CRH', 2458.0, 2488.0, 2450.0, 733923.0
'LSE', 3975.0, 4066.0, 3965.0, 638366.0
'RTO', 287.3, 291.3, 286.2, 2515895.0
'SGRO', 579.8, 595.6, 579.4, 2981429.0
'SBRY', 251.2, 252.8, 249.6, 5865134.0
'CRDA', 4410.0, 4520.0, 4388.0, 312562.0
'SHP', 3110.5, 3212.0, 3083.5, 2321274.0
'DLG', 385.4, 387.9, 383.7, 2965597.0
'BLT', 1562.0, 1588.2, 1558.2, 6569925.0
'PSON', 696.8, 702.8, 693.8, 2755821.0
'LAND', 934.5, 943.7, 930.6, 1253287.0
'GKN', 414.6, 418.9, 408.7, 3449932.0
'GLEN', 383.8, 390.65, 383.5, 22367428.0
'PSN', 2425.0, 2449.0, 2409.0, 594330.0
'NG.', 747.4, 754.2, 744.7, 7331971.0
'SSE', 1201.5, 1205.0, 1194.0, 2228018.0
'INF', 682.2, 688.6, 681.0, 2720246.0
'SMT', 459.4, 461.4, 454.2, 2048283.0
'BNZL', 2000.0, 2037.0, 1998.5, 621349.0
'UU.', 663.2, 675.8, 660.6, 1623745.0
'REL', 1470.0, 1495.5, 1465.5, 4297566.0
'SMDS', 475.2, 484.0, 474.0, 2424325.0
'PRU', 1827.0, 1851.0, 1819.0, 2677352.0
'BKG', 3786.0, 3822.0, 3760.0, 617396.0
'FERG', 5170.0, 5228.0, 5158.0, 340455.0
'DGE', 2494.0, 2503.0, 2485.5, 3363829.0
'MDC', 578.8, 588.4, 577.4, 1603953.0
'WPP', 1435.5, 1468.0, 1431.0, 5538079.0
'MCRO', 2058.0, 2114.0, 2054.0, 849029.0
'EXPN', 1539.5, 1565.5, 1538.0, 1096130.0
'RRS', 6140.0, 6280.0, 6134.0, 397324.0
'VOD', 203.55, 205.3, 202.4, 62761368.0
'RR.', 829.4, 834.8, 826.6, 2538849.0
'IMB', 2668.0, 2696.0, 2639.5, 2079507.0
'RDSB', 2283.0, 2301.5, 2277.5, 2442952.0
'RDSA', 2261.5, 2278.5, 2258.0, 21078347.0
'HMSO', 459.9, 464.5, 457.4, 3866377.0
'HLMA', 1201.0, 1225.0, 1199.0, 599597.0
'FRES', 1361.0, 1392.5, 1357.5, 1028089.0
'BDEV', 556.0, 561.4, 546.6, 4178619.0
'TSCO', 206.0, 207.6, 204.4, 36250416.0
'JE.', 866.4, 894.8, 865.2, 2250633.0
'HSBA', 760.5, 764.3, 760.3, 26079703.0
'SKG', 2604.0, 2636.0, 2596.0, 617506.0
'OML', 247.5, 249.5, 246.0, 8168966.0
'TUI', 1526.0, 1557.0, 1524.0, 1288528.0
'NMC', 3366.0, 3516.0, 3366.0, 1021188.0
'ITV', 170.5, 172.4, 170.45, 10541211.0
'ULVR', 3732.0, 3801.0, 3729.0, 1615515.0
'AZN', 4712.5, 4814.5, 4706.0, 1543769.0
'AAL', 1727.4, 1768.6, 1720.0, 4489411.0
'BT.A', 228.0, 230.1, 226.15, 16777418.0
'MKS', 297.5, 301.2, 296.4, 3842291.0
'EVR', 412.0, 414.2, 393.1, 2745333.0
'PPB', 8315.0, 8360.0, 8265.0, 193027.0
'BRBY', 1541.0, 1556.5, 1535.5, 916152.0
'MNDI', 1881.5, 1889.0, 1864.0, 1409885.0
'RB.', 6075.0, 6448.0, 6075.0, 3970292.0
'LLOY', 67.95, 68.53, 67.83, 130296216.0
'SGE', 691.2, 702.4, 690.6, 2716904.0
'ABF', 2638.0, 2677.0, 2638.0, 770935.0
'RBS', 275.6, 277.1, 274.9, 10824697.0
'STJ', 1114.5, 1130.0, 1114.0, 991501.0
'ANTO', 897.8, 917.2, 896.8, 1903283.0
'CNA', 128.7, 129.15, 128.1, 12253775.0
'SLA', 372.9, 378.3, 365.4, 13564367.0
'SDR', 3410.0, 3429.0, 3399.0, 247727.0
'GFS', 258.0, 260.3, 257.2, 3774372.0
'TW.', 187.95, 189.3, 186.2, 15226368.0
'RSA', 606.8, 612.4, 605.2, 2867140.0
'BP.', 474.05, 478.35, 473.15, 25079764.0
'EZJ', 1649.0, 1669.0, 1641.0, 837660.0
'KGF', 358.7, 361.2, 358.1, 6897099.0
'BA.', 592.8, 599.8, 591.2, 4186590.0
