Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change
'III', 942.6, 945.8, 934.6, 457673.0, 948.0, -5.4, -0.57
'ABF', 2652.0, 2667.0, 2635.0, 223836.0, 2661.0, -9.0, -0.34
'ADM', 1894.5, 2054.0, 1861.0, 1475603.0, 1931.0, -36.5, -1.89
'AAL', 1795.0, 1824.8, 1790.0, 2342584.0, 1842.0, -47.0, -2.55
'ANTO', 887.0, 900.2, 883.4, 1500495.0, 905.8, -18.8, -2.08
'AHT', 2115.0, 2116.0, 2078.0, 557866.0, 2108.0, 7.0, 0.33
'AZN', 4823.5, 4844.0, 4788.0, 589288.0, 4795.0, 28.5, 0.59
'AV.', 506.2, 507.2, 502.0, 2391111.0, 506.0, 0.2, 0.04
'BA.', 582.4, 582.8, 567.6, 1674937.0, 572.6, 9.8, 1.71
'BARC', 214.1, 214.8, 210.9, 23192195.0, 212.0, 2.1, 0.99
'BDEV', 542.0, 547.8, 535.8, 2371567.0, 548.0, -6.0, -1.09
'BKG', 3874.0, 3903.0, 3828.0, 163602.0, 3892.0, -18.0, -0.46
'BLT', 1493.2, 1512.2, 1481.6, 3306154.0, 1525.0, -31.8, -2.09
'BP.', 480.8, 481.0, 475.1, 9520074.0, 478.2, 2.6, 0.54
'BATS', 4362.5, 4402.5, 4337.5, 1513284.0, 4397.5, -35.0, -0.8
'BLND', 630.4, 636.0, 626.8, 1082787.0, 637.2, -6.8, -1.07
'BT.A', 243.9, 244.6, 240.8, 8874981.0, 243.25, 0.65, 0.27
'BNZL', 1974.5, 1976.5, 1958.5, 395243.0, 1969.5, 5.0, 0.25
'BRBY', 1543.5, 1543.5, 1527.0, 280891.0, 1538.0, 5.5, 0.36
'CCL', 4828.0, 4828.0, 4772.0, 227188.0, 4821.0, 7.0, 0.15
'CNA', 142.9, 142.9, 140.55, 5670070.0, 141.8, 1.1, 0.78
'CCH', 2416.0, 2445.0, 2397.0, 243325.0, 2442.0, -26.0, -1.06
'CPG', 1556.0, 1556.0, 1542.5, 586560.0, 1550.0, 6.0, 0.39
'CRH', 2421.0, 2439.0, 2411.0, 547241.0, 2436.0, -15.0, -0.62
'CRDA', 4589.0, 4594.0, 4527.0, 102686.0, 4550.0, 39.0, 0.86
'DCC', 6700.0, 6730.0, 6675.0, 38482.0, 6735.0, -35.0, -0.52
'DGE', 2482.5, 2487.5, 2468.5, 2274741.0, 2479.0, 3.5, 0.14
'DLG', 386.9, 391.2, 385.9, 4568250.0, 387.9, -1.0, -0.26
'EZJ', 1691.0, 1695.0, 1663.5, 551374.0, 1679.0, 12.0, 0.71
'EVR', 435.2, 436.3, 425.8, 943433.0, 438.0, -2.8, -0.64
'EXPN', 1559.0, 1560.0, 1546.5, 327812.0, 1557.5, 1.5, 0.1
'FERG', 5190.0, 5216.0, 5138.0, 220195.0, 5186.0, 4.0, 0.08
'FRES', 1244.5, 1277.5, 1232.5, 426037.0, 1273.0, -28.5, -2.24
'GFS', 264.1, 264.1, 260.7, 738871.0, 265.6, -1.5, -0.56
'GKN', 436.6, 437.1, 428.0, 3658788.0, 430.7, 5.9, 1.37
'GSK', 1314.2, 1316.2, 1294.4, 2489165.0, 1303.8, 10.4, 0.8
'GLEN', 390.15, 393.5, 386.45, 13929331.0, 396.5, -6.35, -1.6
'HLMA', 1213.0, 1214.0, 1208.0, 165320.0, 1213.0, 0.0, 0.0
'HMSO', 448.4, 454.7, 448.0, 2507442.0, 455.7, -7.3, -1.6
'HL.', 1727.0, 1727.0, 1712.0, 164141.0, 1725.5, 1.5, 0.09
'HSBA', 721.8, 723.9, 714.3, 8125939.0, 719.2, 2.6, 0.36
'IMB', 2621.5, 2639.0, 2590.0, 875334.0, 2606.0, 15.5, 0.59
'INF', 697.0, 699.2, 675.4, 1608602.0, 686.0, 11.0, 1.6
'IHG', 4728.0, 4728.0, 4663.0, 138033.0, 4699.0, 29.0, 0.62
'ITRK', 4940.0, 4947.0, 4889.0, 89294.0, 4925.0, 15.0, 0.3
'IAG', 610.4, 610.8, 598.8, 2364625.0, 603.4, 7.0, 1.16
'ITV', 161.45, 169.75, 157.05, 32073218.0, 173.2, -11.75, -6.78
'JMAT', 3148.0, 3155.0, 3125.0, 178327.0, 3155.0, -7.0, -0.22
'JE.', 877.0, 883.0, 871.0, 712911.0, 875.0, 2.0, 0.23
'KGF', 361.9, 362.6, 350.0, 6798599.0, 362.5, -0.6, -0.17
'LAND', 927.0, 929.2, 915.7, 895268.0, 927.5, -0.5, -0.05
'LGEN', 264.8, 265.3, 262.6, 3297480.0, 263.4, 1.4, 0.53
'LLOY', 69.18, 69.22, 68.69, 36571239.0, 69.03, 0.15, 0.22
'LSE', 4073.0, 4080.0, 4009.0, 88575.0, 4054.0, 19.0, 0.47
'MKS', 298.4, 299.4, 295.9, 858832.0, 300.0, -1.6, -0.53
'MDC', 598.2, 604.6, 594.0, 820920.0, 607.2, -9.0, -1.48
'MCRO', 2063.0, 2074.0, 2052.0, 415620.0, 2060.0, 3.0, 0.15
'MNDI', 1902.5, 1903.0, 1872.0, 465085.0, 1893.5, 9.0, 0.48
'MRW', 225.6, 226.2, 222.2, 2183680.0, 224.9, 0.7, 0.31
'NG.', 751.2, 754.6, 745.7, 2991168.0, 756.5, -5.3, -0.7
'NXT', 4878.0, 4909.0, 4852.0, 125655.0, 4912.0, -34.0, -0.69
'NMC', 3470.0, 3506.0, 3468.0, 95397.0, 3516.0, -46.0, -1.31
'OML', 256.9, 258.0, 255.4, 3544541.0, 257.8, -0.9, -0.35
'PPB', 8535.0, 8575.0, 8500.0, 120789.0, 8585.0, -50.0, -0.58
'PSON', 729.2, 730.0, 720.0, 1265277.0, 727.0, 2.2, 0.3
'PSN', 2594.0, 2630.0, 2555.0, 1254005.0, 2604.0, -10.0, -0.38
'PRU', 1856.5, 1857.5, 1828.5, 1078743.0, 1841.0, 15.5, 0.84
'RRS', 5884.0, 5942.0, 5816.0, 345433.0, 5948.0, -64.0, -1.08
'RDSA', 2318.5, 2319.0, 2287.5, 1590812.0, 2302.5, 16.0, 0.69
'RDSB', 2337.5, 2338.5, 2299.0, 1649031.0, 2316.5, 21.0, 0.91
'RB.', 5812.0, 5883.0, 5772.0, 649248.0, 5841.0, -29.0, -0.5
'REL', 1495.0, 1496.5, 1480.0, 1087683.0, 1491.0, 4.0, 0.27
'RTO', 291.6, 291.7, 288.2, 2766094.0, 292.1, -0.5, -0.17
'RIO', 3954.0, 4017.5, 3916.5, 2011310.0, 4047.5, -93.5, -2.31
'RR.', 852.8, 853.2, 846.0, 596287.0, 852.4, 0.4, 0.05
'RBS', 269.1, 270.3, 267.9, 5223832.0, 270.4, -1.3, -0.48
'RSA', 634.4, 636.6, 630.6, 1068281.0, 633.6, 0.8, 0.13
'SGE', 695.2, 696.2, 687.6, 788684.0, 692.2, 3.0, 0.43
'SBRY', 260.0, 260.5, 255.3, 2490034.0, 257.7, 2.3, 0.89
'SDR', 3469.0, 3488.0, 3451.0, 106149.0, 3471.0, -2.0, -0.06
'SMT', 464.6, 467.4, 462.0, 1219446.0, 467.0, -2.4, -0.51
'SGRO', 563.8, 574.4, 563.4, 878568.0, 575.2, -11.4, -1.98
'SVT', 1736.0, 1757.5, 1723.0, 233011.0, 1757.5, -21.5, -1.22
'SHP', 3097.0, 3125.0, 3028.0, 929156.0, 3054.0, 43.0, 1.41
'SKY', 1333.0, 1340.5, 1320.0, 2680145.0, 1331.5, 1.5, 0.11
'SN.', 1283.0, 1283.5, 1277.5, 550296.0, 1284.0, -1.0, -0.08
'SMDS', 481.9, 482.3, 480.0, 758879.0, 483.0, -1.1, -0.23
'SMIN', 1603.0, 1604.5, 1587.5, 263665.0, 1600.0, 3.0, 0.19
'SKG', 2532.0, 2534.0, 2498.0, 93688.0, 2528.0, 4.0, 0.16
'SSE', 1238.0, 1239.5, 1228.5, 985573.0, 1241.0, -3.0, -0.24
'STJ', 1160.0, 1173.0, 1113.5, 1016199.0, 1125.5, 34.5, 3.07
'STAN', 817.7, 825.0, 810.4, 2885998.0, 839.0, -21.3, -2.54
'SLA', 373.7, 374.5, 370.7, 2201243.0, 374.0, -0.3, -0.08
'TW.', 187.55, 190.35, 181.2, 17662040.0, 193.75, -6.2, -3.2
'TSCO', 214.2, 215.0, 205.6, 33369006.0, 207.1, 7.1, 3.43
'TUI', 1552.0, 1553.0, 1535.0, 389783.0, 1553.0, -1.0, -0.06
'ULVR', 3763.0, 3767.0, 3728.0, 715827.0, 3752.0, 11.0, 0.29
'UU.', 676.6, 682.6, 668.8, 743333.0, 681.6, -5.0, -0.73
'VOD', 204.6, 204.7, 202.95, 12140477.0, 204.8, -0.2, -0.1
'WTB', 3931.0, 3932.0, 3894.0, 71878.0, 3928.0, 3.0, 0.08
'WPP', 1386.5, 1395.0, 1364.5, 1227087.0, 1374.0, 12.5, 0.91
