Ticker, Price, High, Low, Volume, Last_Close, Absolute_Change, Percentage_Change, Market_Cap
'III', 917.4, 920.4, 903.8, 419263.0, 906.0, 11.4, 1.26, 8813.7
'ABF', 2586.0, 2625.0, 2586.0, 409184.0, 2607.0, -21.0, -0.81, 20638.95
'ADM', 1848.0, 1853.0, 1834.0, 276633.0, 1845.0, 3.0, 0.16, 5254.24
'AAL', 1687.2, 1710.6, 1664.6, 1972497.0, 1687.6, -0.4, -0.02, 23704.11
'ANTO', 851.6, 857.8, 839.8, 1091028.0, 842.6, 9.0, 1.07, 8306.9
'AHT', 2034.0, 2049.0, 2010.0, 752550.0, 1998.5, 35.5, 1.78, 9977.03
'AZN', 4760.0, 4781.0, 4715.0, 1118282.0, 4736.0, 24.0, 0.51, 59940.74
'AV.', 496.9, 500.8, 495.1, 3714856.0, 497.5, -0.6, -0.12, 19955.75
'BA.', 573.6, 578.6, 570.4, 1691981.0, 576.0, -2.4, -0.42, 18336.61
'BARC', 204.9, 207.2, 204.35, 48226228.0, 205.3, -0.4, -0.19, 34962.98
'BDEV', 537.8, 546.4, 530.8, 2029279.0, 532.4, 5.4, 1.01, 5361.14
'BKG', 3792.0, 3816.0, 3757.0, 184817.0, 3765.0, 27.0, 0.72, 5098.39
'BLT', 1425.8, 1432.8, 1404.6, 4353400.0, 1412.6, 13.2, 0.93, 29823.99
'BP.', 464.65, 468.75, 464.4, 21194894.0, 464.1, 0.55, 0.12, 91324.93
'BATS', 4168.0, 4222.5, 4162.5, 1476962.0, 4220.0, -52.0, -1.23, 96969.16
'BLND', 633.0, 634.6, 626.8, 936089.0, 627.6, 5.4, 0.86, 6311.47
'BT.A', 237.5, 238.9, 235.7, 5693645.0, 236.25, 1.25, 0.53, 23531.66
'BNZL', 1961.0, 1961.5, 1948.0, 357980.0, 1950.0, 11.0, 0.56, 6545.61
'BRBY', 1645.0, 1658.0, 1633.5, 750624.0, 1634.5, 10.5, 0.64, 6980.67
'CCL', 4639.0, 4653.0, 4603.0, 240656.0, 4621.0, 18.0, 0.39, 9860.68
'CNA', 141.1, 142.85, 140.5, 23665253.0, 141.4, -0.3, -0.21, 7907.62
'CCH', 2370.0, 2379.0, 2357.0, 923091.0, 2364.0, 6.0, 0.25, 8607.93
'CPG', 1522.0, 1530.5, 1520.5, 894662.0, 1524.0, -2.0, -0.13, 24096.33
'CRH', 2448.0, 2471.0, 2394.0, 828454.0, 2399.0, 49.0, 2.04, 20050.98
'CRDA', 4454.0, 4505.0, 4437.0, 154864.0, 4456.0, -2.0, -0.04, 5854.86
'DCC', 6555.0, 6605.0, 6505.0, 93576.0, 6515.0, 40.0, 0.61, 5786.39
'DGE', 2381.0, 2392.0, 2379.5, 1325706.0, 2381.5, -0.5, -0.02, 59949.19
'DLG', 374.1, 375.3, 372.0, 2633786.0, 373.8, 0.3, 0.08, 5139.75
'EZJ', 1577.0, 1605.5, 1571.0, 767565.0, 1577.0, 0.0, 0.0, 6263.97
'EVR', 439.0, 448.6, 435.6, 979879.0, 444.3, -5.3, -1.19, 6362.61
'EXPN', 1518.0, 1528.0, 1517.0, 455785.0, 1520.5, -2.5, -0.16, 14154.38
'FERG', 5126.0, 5152.0, 5086.0, 119513.0, 5098.0, 28.0, 0.55, 12894.84
'FRES', 1200.5, 1206.5, 1192.0, 367009.0, 1197.5, 3.0, 0.25, 8824.3
'GFS', 254.1, 256.8, 253.2, 1245200.0, 254.3, -0.2, -0.08, 3945.7
'GKN', 421.2, 427.5, 416.9, 31729305.0, 420.0, 1.2, 0.29, 7212.75
'GSK', 1300.8, 1302.2, 1289.8, 1719695.0, 1290.0, 10.8, 0.84, 63434.88
'GLEN', 362.0, 368.9, 359.5, 18615948.0, 364.5, -2.5, -0.69, 52468.83
'HLMA', 1170.0, 1175.0, 1167.0, 477265.0, 1166.0, 4.0, 0.34, 4421.28
'HMSO', 450.3, 450.9, 444.4, 2412807.0, 447.9, 2.4, 0.54, 3552.69
'HL.', 1682.0, 1695.5, 1654.0, 434249.0, 1657.0, 25.0, 1.51, 7859.46
'HSBA', 699.5, 706.1, 699.1, 9619577.0, 705.0, -5.5, -0.78, 141347.75
'IMB', 2570.5, 2599.5, 2570.5, 573082.0, 2584.0, -13.5, -0.52, 24773.09
'INF', 702.2, 704.0, 696.2, 2121394.0, 697.6, 4.6, 0.66, 5748.26
'IHG', 4482.0, 4504.0, 4441.0, 232344.0, 4454.0, 28.0, 0.63, 8462.16
'ITRK', 4873.0, 4895.0, 4853.0, 175495.0, 4873.0, 0.0, 0.0, 7864.56
'IAG', 612.2, 619.4, 610.8, 4293313.0, 615.0, -2.8, -0.46, 12620.44
'ITV', 152.0, 155.2, 151.95, 6830582.0, 153.9, -1.9, -1.23, 6195.1
'JMAT', 3052.0, 3080.0, 3027.0, 141079.0, 3030.0, 22.0, 0.73, 5864.06
'JE.', 851.0, 858.0, 843.2, 1729296.0, 849.0, 2.0, 0.24, 5765.06
'KGF', 346.7, 350.5, 346.4, 2419368.0, 347.8, -1.1, -0.32, 7537.43
'LAND', 915.5, 918.5, 911.4, 625222.0, 913.0, 2.5, 0.27, 6768.34
'LGEN', 254.6, 255.4, 252.6, 6519924.0, 253.4, 1.2, 0.47, 15090.63
'LLOY', 66.76, 67.3, 66.6, 64312694.0, 67.0, -0.24, -0.36, 47878.18
'LSE', 3879.0, 3901.0, 3837.0, 246331.0, 3837.0, 42.0, 1.09, 13389.88
'MKS', 287.9, 289.5, 287.0, 2143772.0, 286.7, 1.2, 0.42, 4658.09
